ubigeo;distrito;centro_poblado;region_natural;altitud_msnm;pob_2017;categoria_ign;lon;lat;fuente_coord
060612;Santo Domingo De La Capilla;Limas Gramalote;Rupa Rupa;1482;90;CASERÃO;-78.86693945299999;-6.211281249999956;INEI
060612;Santo Domingo De La Capilla;Limon Guayaquil;Yunga fluvial;1610;84;;-78.85008011199994;-6.221449098999926;INEI
060612;Santo Domingo De La Capilla;Playa Hermosa;Rupa Rupa;1350;81;;;;
060612;Santo Domingo De La Capilla;San Pedro;Yunga fluvial;2153;78;CASERÃO;-78.86731299099995;-6.279943117999949;IGN
060612;Santo Domingo De La Capilla;Guayabo;Yunga fluvial;1748;63;;-78.85200973699995;-6.236740098999974;INEI
060612;Santo Domingo De La Capilla;San Jose;Yunga fluvial;1912;61;;;;
060612;Santo Domingo De La Capilla;Santa Rita;Yunga fluvial;1594;35;;-78.87899333499996;-6.206353732999958;IGN
060612;Santo Domingo De La Capilla;Cercado De La Capilla;Yunga fluvial;1768;25;;-78.85297661199996;-6.242566223999972;INEI
060612;Santo Domingo De La Capilla;La Laguna San Pablo;Yunga fluvial;2172;11;;-78.79188861199998;-6.278998098999978;INEI
060612;Santo Domingo De La Capilla;Tupac Amaru;Quechua;2608;0;UNID. AGROPECUARIA;-78.83505078099995;-6.2948457029999645;INEI
060613;Santo Tomás;Santo Tomas;Yunga fluvial;2167;1762;;-78.69109173699997;-6.154449098999976;INEI
060613;Santo Tomás;El Arenal;Yunga fluvial;1984;387;CASERÃO;-78.70802822399997;-6.16929104899998;IGN
060613;Santo Tomás;Playa Grande;Yunga fluvial;1980;342;CASERÃO;-78.73435622099998;-6.171042145999934;IGN
060613;Santo Tomás;San Luis;Yunga fluvial;2160;290;CASERÃO;-78.65113808099994;-6.192314435999947;IGN
060613;Santo Tomás;Tambillo;Yunga fluvial;1977;276;;-78.69811764399998;-6.17795614399995;IGN
060613;Santo Tomás;Viza;Yunga fluvial;1750;274;CASERÃO;-78.68017773399998;-6.087345702999926;INEI
060613;Santo Tomás;Lanchepata;Yunga fluvial;2088;270;;;;
060613;Santo Tomás;Rinconada;Yunga fluvial;2148;244;;-78.71371148699996;-6.149249973999929;INEI
060613;Santo Tomás;Miraflores De Pusgan;Yunga fluvial;1976;221;CASERÃO;-78.65319216199998;-6.142462525999974;IGN
060613;Santo Tomás;San Juan Pampa;Yunga fluvial;2144;202;;;;
060613;Santo Tomás;El Pueblo Lo Hizo;Yunga fluvial;2076;199;;-78.72547361199997;-6.195975973999964;INEI
060613;Santo Tomás;Andamarca;Yunga fluvial;1929;184;;-78.66627411199994;-6.165658973999939;INEI
060613;Santo Tomás;La Succha;Yunga fluvial;2118;182;CASERÃO;-78.65831815899998;-6.143941518999952;IGN
060613;Santo Tomás;Palma Central;Yunga fluvial;2135;178;;-78.72877923699997;-6.1527890989999605;INEI
060613;Santo Tomás;Vista Florida;Yunga fluvial;1884;175;;;;
060613;Santo Tomás;Santa Rosa;Yunga fluvial;2191;165;CASERÃO;-78.74795141799996;-6.170770581999932;IGN
060613;Santo Tomás;La Granadilla;Yunga fluvial;2084;140;;;;
060613;Santo Tomás;Vista Alegre;Yunga fluvial;2211;131;CASERÃO;-78.72579990899999;-6.076029901999959;IGN
060613;Santo Tomás;Buenos Aires;Yunga fluvial;2023;130;CASERÃO;-78.66934497699998;-6.0886960659999545;INEI
060613;Santo Tomás;Malleta;Rupa Rupa;524;126;CASERÃO;-78.60726309699999;-6.061922842999934;IGN
060613;Santo Tomás;El Frayle;Yunga fluvial;1657;123;CASERÃO;-78.67833593699999;-6.0698593749999645;IGN
060613;Santo Tomás;Quillugay De Santo Tomas;Yunga fluvial;2180;114;;-78.66979623699996;-6.190901223999958;INEI
060613;Santo Tomás;El Roble;Yunga fluvial;1542;99;CASERÃO;-78.70376170199995;-6.088385717999927;IGN
060613;Santo Tomás;La Union;Yunga fluvial;1988;98;CASERÃO;-78.66057401999996;-6.138182327999971;IGN
060613;Santo Tomás;Tayales;Rupa Rupa;1484;96;CASERÃO;-78.66115038899994;-6.122050780999928;INEI
060613;Santo Tomás;Longutay;Yunga fluvial;2062;70;CASERÃO;-78.66838725699995;-6.157307033999928;IGN
060613;Santo Tomás;Nuevo Pucalpa;Yunga fluvial;1764;66;;-78.68203911199998;-6.151490098999943;INEI
060613;Santo Tomás;La Lima;Yunga fluvial;1648;64;CASERÃO;-78.64034960899994;-6.134060546999933;INEI
060613;Santo Tomás;San Jose;Yunga fluvial;1927;60;CASERÃO;-78.68781100399997;-6.166898403999937;INEI
060613;Santo Tomás;La Viña;Yunga fluvial;1870;56;;;;
060613;Santo Tomás;Nuevo Oriente;Yunga fluvial;2182;50;CASERÃO;-78.67013059499999;-6.140226889999951;IGN
060613;Santo Tomás;Muñuño;Yunga fluvial;2165;46;;;;
060613;Santo Tomás;El Salluf;Yunga fluvial;1526;41;ANEXO;-78.65691406099995;-6.115263671999969;INEI
060613;Santo Tomás;Sauce;Yunga fluvial;1869;38;CASERÃO;-78.69521833799996;-6.172902164999925;IGN
060613;Santo Tomás;El Porvenir;Yunga fluvial;1634;33;CASERÃO;-78.65560460999995;-6.170603237999956;IGN
060613;Santo Tomás;Las Juntas;Yunga fluvial;1532;15;CASERÃO;-78.64057955099997;-6.171528721999948;IGN
060613;Santo Tomás;La Selva;Yunga fluvial;2132;14;UNID. AGROPECUARIA;-78.68096595799994;-6.13296612299996;INEI
060613;Santo Tomás;La Chamana;Yunga fluvial;1701;13;;-78.68938948699997;-6.1032905989999335;INEI
